22.05.2020;23:25:28  bllac 330.800000 42.351944
23.05.2020;20:27:01  s50716 110.954167 71.244167
23.05.2020;20:49:12  m61 185.770833 4.417222
23.05.2020;21:02:43  pks1406 212.529167 -7.956111
23.05.2020;22:45:13  q1959 299.845833 65.152222
23.05.2020;23:15:53  bllac 330.770833 42.358056
24.05.2020;20:45:04  s50716 110.745833 71.258333
24.05.2020;21:02:52  pks1406 212.500000 -7.968611
24.05.2020;21:48:57  q1959 299.775000 65.135556
24.05.2020;22:10:17  s40954 149.962500 65.447222
24.05.2020;22:40:16  wcom 185.629167 28.141667
25.05.2020;20:09:21  pks1406 212.508333 -7.973333
25.05.2020;20:28:30  pks1406 212.504167 -7.968333
25.05.2020;21:14:24  pks1406 212.504167 -7.970000
25.05.2020;21:57:27  q1959 299.804167 65.139167
25.05.2020;22:37:44  pks1222 186.504167 21.267222
25.05.2020;23:02:36  s50716 110.758333 71.289444
26.05.2020;21:05:58  m61 185.750000 4.415278
26.05.2020;21:23:09  q1959 299.812500 65.143611
26.05.2020;22:03:24  pks1222 186.483333 21.266389
26.05.2020;22:36:04  s50716 110.779167 71.267222
29.05.2020;21:09:34  m61 185.745833 4.416389
29.05.2020;21:19:48  pks1222 186.475000 21.267500
29.05.2020;21:23:48  q1959 299.825000 65.131667
29.05.2020;22:03:57  pks1222 186.479167 21.267222
29.05.2020;22:20:01  pg1553 239.195833 11.131111
29.05.2020;22:39:09  s50716 110.737500 71.233889
30.05.2020;21:02:00  q1959 299.845833 65.176389
30.05.2020;21:38:38  s50716 110.750000 71.269722
30.05.2020;21:55:25  pg1553 239.175000 11.109722
30.05.2020;22:20:45  bllac 330.783333 42.348611
17.08.2020;18:54:18  bllac 330.816667 42.323611
17.08.2020;19:21:08  pg1553 239.204167 11.131667
17.08.2020;19:40:18  h1722 261.512500 11.863056
17.08.2020;20:13:15  q1633 249.037500 38.093056
17.08.2020;20:49:27  bllac 330.854167 42.337778
17.08.2020;21:01:04  q1959 299.916667 65.146389
17.08.2020;21:35:50  3c454 343.720833 16.214167
17.08.2020;22:07:32  cta102 338.408333 11.822222
17.08.2020;22:51:24  4u0115 19.937500 63.793333
17.08.2020;23:19:42  bllac 330.858333 42.331667
17.08.2020;23:31:30  s50716 110.716667 71.229167
17.08.2020;23:50:06  3c66a 110.729167 71.241389
17.08.2020;23:52:29  3c66a 35.916667 43.103333
18.08.2020;00:22:13  ao0235 39.929167 16.681389
18.08.2020;00:47:24  3c84 50.262500 41.563611
18.08.2020;19:27:46  bllac 330.908333 38.258333
18.08.2020;20:01:44  bllac 330.854167 42.376111
18.08.2020;20:09:50  3c345 250.929167 39.807778
18.08.2020;20:55:37  ot081 268.191667 9.704167
18.08.2020;21:51:38  cta102 338.450000 11.873333
18.08.2020;22:41:25  3c454 343.779167 16.270000
18.08.2020;23:21:18  q1959 300.008333 65.206111
18.08.2020;23:47:51  s40954 149.916667 65.490833
19.08.2020;00:30:22  ao0235 39.962500 16.760833
19.08.2020;20:03:22  bllac 330.891667 42.377778
19.08.2020;20:32:25  1es2344 357.016667 51.817500
19.08.2020;21:04:01  s50716 110.704167 71.283889
19.08.2020;21:34:24  pvcep 311.387500 68.001944
19.08.2020;22:09:17  3c371 271.516667 69.778333
19.08.2020;22:43:41  s41030 158.612500 60.748056
19.08.2020;23:13:54  3c454 343.754167 16.244722
19.08.2020;23:45:50  ao0235 39.933333 16.717778
20.08.2020;00:17:22  bllac 330.866667 42.377222
20.08.2020;00:48:26  q1959 299.904167 65.190833
